Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total Personnage
merimee_carmen. pers9	[0.0, 0.0]	[0.4286, 0.006]	[0.1429, 0.0015]	[0.0, 0.0]	[0.4286, 0.0118]	[0.0, 0.0]	7
merimee_carmen. pers11	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
merimee_carmen. pers12	[0.4, 0.0128]	[0.0, 0.0]	[0.2, 0.0015]	[0.4, 0.0465]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_carmen. pers13	[0.5, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.5, 0.0058]	4
merimee_carmen. pers15	[0.0, 0.0]	[0.0, 0.0]	[0.2, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.8, 0.0116]	5
merimee_carmen. pers16	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
merimee_venusdille. _	[0.0116, 0.0128]	[0.2384, 0.0823]	[0.4012, 0.1028]	[0.0058, 0.0233]	[0.2093, 0.1417]	[0.1337, 0.0667]	172
merimee_venusdille. pers1	[0.1803, 0.0705]	[0.1967, 0.0241]	[0.2131, 0.0194]	[0.0656, 0.093]	[0.0328, 0.0079]	[0.3115, 0.0551]	61
merimee_venusdille. pers2	[0.0, 0.0]	[0.1622, 0.012]	[0.4324, 0.0238]	[0.0, 0.0]	[0.0811, 0.0118]	[0.3243, 0.0348]	37
merimee_venusdille. pers3	[0.1786, 0.0641]	[0.1964, 0.0221]	[0.2321, 0.0194]	[0.0, 0.0]	[0.0179, 0.0039]	[0.375, 0.0609]	56
merimee_venusdille. pers4	[1.0, 0.0321]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers5	[0.6, 0.0192]	[0.0, 0.0]	[0.0, 0.0]	[0.4, 0.0465]	[0.0, 0.0]	[0.0, 0.0]	5
merimee_venusdille. pers6	[0.5, 0.0128]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0233]	[0.0, 0.0]	[0.25, 0.0029]	4
merimee_venusdille. pers7	[0.1538, 0.0256]	[0.1538, 0.008]	[0.4615, 0.0179]	[0.0, 0.0]	[0.0, 0.0]	[0.2308, 0.0174]	26
merimee_venusdille. pers8	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.093]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers10	[0.0, 0.0]	[0.75, 0.006]	[0.25, 0.0015]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	4
merimee_venusdille. pers11	[0.0, 0.0]	[0.125, 0.002]	[0.625, 0.0075]	[0.0, 0.0]	[0.0, 0.0]	[0.25, 0.0058]	8
merimee_venusdille. pers12	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0058]	2
merimee_venusdille. pers13	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.003]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	2
zeltner_contes. _	[0.0253, 0.0128]	[0.443, 0.0703]	[0.3797, 0.0447]	[0.0, 0.0]	[0.1139, 0.0354]	[0.038, 0.0087]	79
zeltner_contes. mere	[1.0, 0.0064]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	[0.0, 0.0]	1
